VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2018-10-31 07:10:55,2018-11-01 06:43:24,1,2.57,1,N,211,48,1,14.5,0.5,0.5,4.74,0.0,0.3,20.54
2,2018-10-31 16:38:25,2018-10-31 16:50:10,5,3.58,1,N,237,144,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8
2,2018-10-31 20:23:41,2018-10-31 20:31:47,1,2.39,1,N,163,107,1,9.0,0.5,0.5,1.0,0.0,0.3,11.3
2,2018-10-31 22:44:24,2018-10-31 22:48:28,1,0.5,1,N,246,246,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2018-10-31 23:22:18,2018-10-31 23:35:30,1,1.81,1,N,79,90,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56
2,2018-10-31 23:27:39,2018-10-31 23:44:33,1,7.91,1,N,87,236,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3
2,2018-10-31 23:40:55,2018-10-31 23:46:52,1,2.24,1,N,162,263,1,8.0,0.5,0.5,2.32,0.0,0.3,11.62
2,2018-10-31 23:45:53,2018-10-31 23:56:44,1,2.31,1,N,48,234,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3
2,2018-10-31 23:46:42,2018-10-31 23:52:54,1,0.68,1,N,163,48,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2018-10-31 23:47:30,2018-11-01 00:10:33,1,1.65,1,N,249,137,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8
2,2018-10-31 23:47:46,2018-11-01 00:11:08,1,3.32,1,N,79,255,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8
2,2018-10-31 23:52:54,2018-11-01 00:00:35,2,1.46,1,N,249,231,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
2,2018-10-31 23:56:25,2018-10-31 23:58:37,1,0.58,1,N,186,230,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
2,2018-10-31 23:56:33,2018-11-01 00:20:01,1,2.23,1,N,113,162,1,15.5,0.5,0.5,3.36,0.0,0.3,20.16
2,2018-10-31 23:56:49,2018-11-01 00:10:30,1,2.34,1,N,186,162,1,11.0,0.5,0.5,0.0,0.0,0.3,12.3
2,2018-10-31 23:57:10,2018-11-01 00:07:26,1,4.6,1,N,261,137,1,14.5,0.5,0.5,3.16,0.0,0.3,18.96
2,2018-10-31 23:57:42,2018-11-01 00:07:17,1,0.29,1,N,107,234,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
2,2018-10-31 23:58:26,2018-11-01 00:31:04,6,10.44,1,N,237,188,1,34.0,0.5,0.5,7.06,0.0,0.3,42.36
2,2018-10-31 23:58:56,2018-11-01 00:06:35,1,1.51,1,N,161,43,1,7.5,0.5,0.5,1.32,0.0,0.3,10.12
2,2018-10-31 23:59:13,2018-11-01 00:03:56,2,1.6,1,N,143,151,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
2,2018-10-31 23:59:18,2018-11-01 00:19:52,2,2.78,1,N,148,13,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
2,2018-10-31 23:59:47,2018-11-01 00:24:17,5,7.01,1,N,230,42,2,24.0,0.5,0.5,0.0,0.0,0.3,25.3
2,2018-11-01 00:00:00,2018-11-01 00:07:56,1,1.18,1,N,186,230,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79
2,2018-11-01 00:00:00,2018-11-01 00:00:00,1,4.22,1,N,25,26,2,16.5,1.0,0.5,0.0,0.0,0.3,18.3
1,2018-11-01 00:00:05,2018-11-01 00:06:13,1,1.9,1,N,229,236,1,7.5,0.5,0.5,1.5,0.0,0.3,10.3
1,2018-11-01 00:00:06,2018-11-01 00:13:16,1,0.7,1,N,234,137,1,9.0,0.5,0.5,2.0,0.0,0.3,12.3
2,2018-11-01 00:00:12,2018-11-01 00:07:19,6,2.15,1,N,151,236,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25
1,2018-11-01 00:00:13,2018-11-01 00:28:53,1,7.1,1,N,234,40,1,25.0,0.5,0.5,5.25,0.0,0.3,31.55
2,2018-11-01 00:00:24,2018-11-01 00:22:38,5,4.01,1,N,68,232,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3
1,2018-11-01 00:00:26,2018-11-01 00:55:27,2,14.7,1,N,249,20,1,52.0,0.5,0.5,10.65,0.0,0.3,63.95
2,2018-11-01 00:00:29,2018-11-01 00:04:34,1,0.73,1,N,90,107,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
1,2018-11-01 00:00:29,2018-11-01 00:35:08,2,11.1,1,N,90,127,1,37.0,0.5,0.5,7.65,0.0,0.3,45.95
1,2018-11-01 00:00:30,2018-11-01 00:12:05,1,2.6,1,N,232,255,1,11.5,0.5,0.5,2.0,0.0,0.3,14.8
4,2018-11-01 00:00:32,2018-11-01 00:20:26,1,2.63,1,N,148,164,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3
2,2018-11-01 00:00:34,2018-11-01 00:17:51,1,3.94,1,N,162,7,1,15.0,0.5,0.5,5.0,0.0,0.3,21.3
2,2018-11-01 00:00:35,2018-11-01 00:06:51,1,0.63,1,N,50,230,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2018-11-01 00:00:37,2018-11-01 00:17:36,1,8.32,1,N,142,127,1,25.0,0.5,0.5,5.26,0.0,0.3,31.56
1,2018-11-01 00:00:38,2018-11-01 00:11:06,1,1.5,1,N,158,68,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
2,2018-11-01 00:00:58,2018-11-01 00:04:28,5,0.71,1,N,186,68,1,4.5,0.5,0.5,3.0,0.0,0.3,8.8
2,2018-11-01 00:01:00,2018-11-01 00:08:13,1,1.46,1,N,263,237,1,7.0,0.5,0.5,1.88,0.0,0.3,10.18
1,2018-11-01 00:01:02,2018-11-01 00:17:59,1,0.4,1,N,249,90,1,11.0,0.5,0.5,1.7,0.0,0.3,14.0
2,2018-11-01 00:01:05,2018-11-01 00:11:55,1,1.83,1,N,234,125,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
2,2018-11-01 00:01:05,2018-11-01 00:22:56,3,4.49,1,N,170,170,1,17.5,0.5,0.5,1.0,0.0,0.3,19.8
2,2018-11-01 00:01:12,2018-11-01 00:22:25,1,4.62,1,N,144,17,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3
2,2018-11-01 00:01:28,2018-11-01 00:11:35,1,1.59,1,N,68,230,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
2,2018-11-01 00:01:32,2018-11-01 00:11:49,1,1.86,1,N,113,261,1,9.0,0.5,0.5,3.09,0.0,0.3,13.39
2,2018-11-01 00:01:33,2018-11-01 00:06:04,4,0.8,1,N,164,233,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
1,2018-11-01 00:01:36,2018-11-01 00:16:49,1,3.2,1,N,234,236,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8
2,2018-11-01 00:01:37,2018-11-01 00:04:27,1,0.61,1,N,79,79,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2018-11-01 00:01:41,2018-11-01 00:07:49,2,0.5,1,N,186,100,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2018-11-01 00:01:54,2018-11-01 00:12:51,2,3.22,1,N,142,41,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3
2,2018-11-01 00:01:56,2018-11-01 00:03:16,1,0.08,1,N,100,100,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
2,2018-11-01 00:01:57,2018-11-01 00:12:36,1,1.96,1,N,68,231,1,9.5,0.5,0.5,1.08,0.0,0.3,11.88
2,2018-11-01 00:01:57,2018-11-01 00:12:58,1,0.59,1,N,230,48,1,8.0,0.5,0.5,0.0,0.0,0.3,9.3
1,2018-11-01 00:02:02,2018-11-01 00:07:02,1,0.8,1,N,249,144,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2018-11-01 00:02:04,2018-11-01 00:13:30,1,2.6,1,N,246,13,1,11.5,0.5,0.5,3.8,0.0,0.3,16.6
1,2018-11-01 00:02:06,2018-11-01 00:26:27,2,3.5,1,N,113,255,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15
2,2018-11-01 00:02:07,2018-11-01 00:16:45,1,4.23,1,N,142,74,1,15.0,0.5,0.5,3.26,0.0,0.3,19.56
2,2018-11-01 00:02:11,2018-11-01 00:20:02,2,2.56,1,N,48,229,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3
2,2018-11-01 00:02:14,2018-11-01 00:10:24,3,1.48,1,N,249,144,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
2,2018-11-01 00:02:14,2018-11-01 00:45:08,3,12.13,1,N,68,129,1,39.0,0.5,0.5,1.0,0.0,0.3,41.3
2,2018-11-01 00:02:16,2018-11-01 00:23:05,1,10.48,1,N,170,127,1,29.5,0.5,0.5,6.16,0.0,0.3,36.96
1,2018-11-01 00:02:17,2018-11-01 00:07:52,1,0.8,1,N,264,264,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2018-11-01 00:02:18,2018-11-01 00:27:12,1,9.52,1,N,48,127,1,29.0,0.5,0.5,7.58,0.0,0.3,37.88
1,2018-11-01 00:02:21,2018-11-01 00:15:42,1,1.8,1,N,234,4,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15
