vendor_id,num_passengers,tip,price,dropoff_time,pickup_time,distance
2,1,4.74,20.54,2018-11-01 06:43:24,2018-10-31 07:10:55,2.57
2,5,0.0,13.8,2018-10-31 16:50:10,2018-10-31 16:38:25,3.58
2,1,1.0,11.3,2018-10-31 20:31:47,2018-10-31 20:23:41,2.39
2,1,0.0,5.8,2018-10-31 22:48:28,2018-10-31 22:44:24,0.5
2,1,2.26,13.56,2018-10-31 23:35:30,2018-10-31 23:22:18,1.81
2,1,0.0,24.3,2018-10-31 23:44:33,2018-10-31 23:27:39,7.91
2,1,2.32,11.62,2018-10-31 23:46:52,2018-10-31 23:40:55,2.24
2,1,0.0,11.3,2018-10-31 23:56:44,2018-10-31 23:45:53,2.31
2,1,0.0,6.8,2018-10-31 23:52:54,2018-10-31 23:46:42,0.68
2,1,2.0,17.8,2018-11-01 00:10:33,2018-10-31 23:47:30,1.65
2,1,0.0,18.8,2018-11-01 00:11:08,2018-10-31 23:47:46,3.32
2,2,0.0,8.8,2018-11-01 00:00:35,2018-10-31 23:52:54,1.46
2,1,0.0,5.3,2018-10-31 23:58:37,2018-10-31 23:56:25,0.58
2,1,3.36,20.16,2018-11-01 00:20:01,2018-10-31 23:56:33,2.23
2,1,0.0,12.3,2018-11-01 00:10:30,2018-10-31 23:56:49,2.34
2,1,3.16,18.96,2018-11-01 00:07:26,2018-10-31 23:57:10,4.6
2,1,0.0,8.3,2018-11-01 00:07:17,2018-10-31 23:57:42,0.29
2,6,7.06,42.36,2018-11-01 00:31:04,2018-10-31 23:58:26,10.44
2,1,1.32,10.12,2018-11-01 00:06:35,2018-10-31 23:58:56,1.51
2,2,0.0,8.3,2018-11-01 00:03:56,2018-10-31 23:59:13,1.6
2,2,0.0,16.3,2018-11-01 00:19:52,2018-10-31 23:59:18,2.78
2,5,0.0,25.3,2018-11-01 00:24:17,2018-10-31 23:59:47,7.01
2,1,2.49,10.79,2018-11-01 00:07:56,2018-11-01 00:00:00,1.18
2,1,0.0,18.3,2018-11-01 00:00:00,2018-11-01 00:00:00,4.22
1,1,1.5,10.3,2018-11-01 00:06:13,2018-11-01 00:00:05,1.9
1,1,2.0,12.3,2018-11-01 00:13:16,2018-11-01 00:00:06,0.7
2,6,2.45,12.25,2018-11-01 00:07:19,2018-11-01 00:00:12,2.15
1,1,5.25,31.55,2018-11-01 00:28:53,2018-11-01 00:00:13,7.1
2,5,0.0,19.3,2018-11-01 00:22:38,2018-11-01 00:00:24,4.01
1,2,10.65,63.95,2018-11-01 00:55:27,2018-11-01 00:00:26,14.7
2,1,1.26,7.56,2018-11-01 00:04:34,2018-11-01 00:00:29,0.73
1,2,7.65,45.95,2018-11-01 00:35:08,2018-11-01 00:00:29,11.1
1,1,2.0,14.8,2018-11-01 00:12:05,2018-11-01 00:00:30,2.6
4,1,0.0,15.3,2018-11-01 00:20:26,2018-11-01 00:00:32,2.63
2,1,5.0,21.3,2018-11-01 00:17:51,2018-11-01 00:00:34,3.94
2,1,0.0,6.8,2018-11-01 00:06:51,2018-11-01 00:00:35,0.63
2,1,5.26,31.56,2018-11-01 00:17:36,2018-11-01 00:00:37,8.32
1,1,1.95,11.75,2018-11-01 00:11:06,2018-11-01 00:00:38,1.5
